period_25yr,Alabama,Arizona,California,Colorado,Connecticut,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,South Carolina,Tennessee,Texas,Utah,Virginia,"Washington, D.C.",Wyoming
1750-1799,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,1,2,0,0,0,2,0,0
1800-1849,1,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,3,1,1,2,1,1,0,0,3,0,0
1850-1899,1,0,2,0,0,1,2,0,1,1,0,1,1,0,2,1,0,1,0,0,1,3,0,4,2,0,1,0,0,0,0,0
1900-1949,1,0,0,0,2,1,0,1,1,0,2,1,0,0,3,1,1,0,0,0,1,6,0,3,1,1,3,1,1,0,0,1
1950-1999,0,2,2,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,1,1,3,0,1,0,0,1,0,0,4,0,0
2000-2049,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
