Name,Education 1,Year 1,Education 2,Year 2,Education 3,Year 3,Education 4,Year 4,Education 5,Year 5
"Nelson, Samuel",Middlebury College,1813,Read law,1817,,,,,,
"O'Connor, Sandra Day","Stanford University, A.B.",1950,"Stanford Law School, LL.B.",1952,,,,,,
"Paterson, William",College of New Jersey (now Princeton University),1763,"College of New Jersey (now Princeton University), M.A.",1766,Read law,1768,,,,
"Peckham, Rufus Wheeler",Read law,1859,,,,,,,,
"Pitney, Mahlon","College of New Jersey (now Princeton University), A.B.",1879,Read law,1882,,,,,,
"Powell, Lewis Franklin, Jr.","Washington and Lee University, B.S.",1929,"Washington and Lee University School of Law, LL.B.",1931,"Harvard Law School, LL.M.",1932,,,,
"Reed, Stanley Forman",Columbia Law School,,University of Virginia School of Law,,"Kentucky Wesleyan College, B.A.",1902,"Yale College, B.A.",1906,Read law,1910
"Rehnquist, William Hubbs","Stanford University, B.A.",1948,"Stanford University, M.A.",1948,"Harvard University, M.A.",1949,"Stanford Law School, LL.B.",1952,,
"Roberts, John Glover, Jr.","Harvard College, A.B.",1976,"Harvard Law School, J.D.",1979,,,,,,
"Roberts, Owen Josephus","University of Pennsylvania, A.B.",1895,"University of Pennsylvania Law School (now Carey Law School), LL.B.",1898,,,,,,
"Rutledge, John","Middle Temple, London, England",,Read law,1760,,,,,,
"Rutledge, Wiley Blount","University of Wisconsin, B.A.",1914,"University of Colorado Law School, LL.B.",1922,,,,,,
"Sanford, Edward Terry","University of Tennessee, B.A., Ph.B.",1883,"Harvard University, B.A.",1885,"Harvard University, M.A.",1889,"Harvard Law School, LL.B.",1889,,
"Scalia, Antonin","Georgetown College (now Georgetown University), B.A.",1957,"Harvard Law School, LL.B.",1960,,,,,,
"Shiras, George, Jr.",Yale Law School,,Yale College,1853,Read law,1855,,,,
"Sotomayor, Sonia","Princeton University, B.A.",1976,"Yale Law School, J.D.",1979,,,,,,
"Souter, David Hackett","Harvard College, B.A.",1961,"University of Oxford, Magdalen College, B.A.",1963,"University of Oxford, Magdalen College, M.A.",1963,"Harvard Law School, LL.B.",1966,,
"Stevens, John Paul","University of Chicago, B.A.",1941,"Northwestern University School of Law (now Pritzker School of Law), J.D.",1947,,,,,,
"Stewart, Potter","Yale University, B.A.",1937,"Yale Law School, LL.B.",1941,,,,,,
"Stone, Harlan Fiske","Amherst College, B.A.",1894,"Amherst College, M.A.",1897,"Columbia Law School, LL.B.",1898,,,,
