period_25yr,Alabama,Arizona,California,Colorado,Connecticut,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,South Carolina,Tennessee,Texas,Utah,Virginia,"Washington, D.C.",Wyoming
1775-1799,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,1,2,0,0,0,2,0,0
1800-1824,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0
1825-1849,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,1,0,0,2,0,0
1850-1874,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0
1875-1899,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0
1900-1924,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,1,0,2,0,0,3,0,1,0,0,1
1925-1949,1,0,0,0,1,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,5,0,1,1,1,0,1,0,0,0,0
1950-1974,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,0,0,1,0,0,2,0,0
1975-1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0
2000-2024,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
